,amort,curr_assets,extra_exp,extra_inc,extra_profit_loss,fixed_assets,inc_bef_tax,intang_assets,inventories,material_exp,personnel_exp,sales,subscribed_cap,tang_assets,balsheet_flag,balsheet_length,balsheet_notfullyear,year,nace_main,ind2,ind,urban_m,operates_within_2_years,liquidity_ratio,profit_margin,leverage_ratio,founded_year,Idade_da_empresa,region_m_encoded
23,14929.6298828125,203885.1875,0.0,0.0,0.0,10.063063194849702,9.377507558716626,0.0,6.520293785322525,13.799656925613606,41037.03515625,13.94347789050098,9.315790903113744,10.063063194849702,0.0,365,0.0,2012,2711.0,27.0,2.0,3,1,0.12518448921929132,0.00855441743008423,1.2930932458817954,2006,6.0,1
56,36625.92578125,160166.671875,0.0,0.0,0.0,13.746776648479482,11.479915083971905,1537.0369873046875,9.381572921713664,12.2291066425242,92614.8125,12.980033750722468,9.76895465410776,13.74512893242609,0.0,365,0.0,2012,5510.0,55.0,3.0,2,1,6.9676852718345454,0.2231018921286965,0.01765725013185554,1992,20.0,2
113,66944.4453125,2406474.0,9.89740797649581,0.0,-19877.77734375,14.176658072530842,11.730967714240416,0.0,14.439365737481054,15.02237834278748,1924614.875,15.500015589566358,10.041681435305774,14.176658072530842,0.0,365,0.0,2012,2920.0,29.0,1.0,3,1,0.002985931682859037,0.02041311298983085,0.4936799002488642,1998,14.0,0
135,0.0,8500.0,0.0,0.0,0.0,0.0,7.653688188279235,0.0,0.0,6.843789445390245,1444.4444580078125,2.260958609242536,8.910370746003398,0.0,0.0,365,0.0,2012,5610.0,56.0,3.0,1,1,6.749999903061812,0.37113403556435387,0.15226153841975643,2010,2.0,0
170,111.1111068725586,16314.814453125,0.0,0.0,0.0,6.147755769682692,7.037060116183306,0.0,0.0,9.3070871968684,21737.037109375,2.436078394007143,7.524481248257534,6.147755769682692,0.0,365,0.0,2012,2732.0,27.0,2.0,2,1,10.016172289312362,0.029698628758906186,0.09055406457560349,2008,4.0,0
177,0.0,24877.77734375,0.0,0.0,0.0,0.0,7.939053148659644,0.0,0.0,7.902747615325877,48759.2578125,2.4765306554886735,7.524481248257534,0.0,0.0,365,0.0,2012,4120.0,41.0,3.0,1,1,0.010905124819611305,0.050731574066629335,21.54026796980736,2010,2.0,0
231,0.0,10100.0,0.0,0.0,0.0,0.0,9.469928701763127,0.0,0.0,5.719339844874043,0.0,2.3527931701211795,3.6385603402098208,0.0,0.0,365,0.0,2012,2711.0,27.0,2.0,2,1,0.06288343887791435,0.0,22.482757053080444,1998,7.0,0
243,2922.22216796875,115288.890625,0.0,0.0,0.0,8.560869763998957,7.931098414776163,0.0,3.731477671729219,11.442394525101578,30929.62890625,2.549679605618515,7.524481248257534,8.560869763998957,0.0,365,0.0,2012,5510.0,55.0,3.0,1,1,0.3326004746564856,0.018594468601902867,14.672379114449212,2011,1.0,0
256,800.0,21077.77734375,0.0,0.0,0.0,7.966406815110354,7.843514540528223,0.0,8.649695319177804,11.085627634770296,18537.037109375,2.516314093737425,7.801982117887399,7.966406815110354,0.0,365,0.0,2012,5629.0,56.0,3.0,3,1,0.31694808949178216,0.0261104309693302,-3.168980544355181,1995,7.0,0
284,3959.25927734375,75300.0,0.0,0.0,0.0,10.600172024186234,11.312995155077248,1911.111083984375,0.0,12.22169567115834,26237.037109375,12.668702770465746,9.133487274232706,10.551392277150232,0.0,365,0.0,2012,2899.0,28.0,2.0,3,1,1.1730242919815546,0.23198274309202763,0.21327363832208046,2008,4.0,1
